,(not set),Anonymous User,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2020-07-30,1211.0,50600,3903,19648.0,,135.0,75497.0,88409,19648.0
2020-07-31,807.0,44544,2019,14669.0,,,62039.0,69514,14669.0
2020-08-01,1211.0,29606,2557,13054.0,,135.0,46563.0,57830,13054.0
2020-08-02,673.0,23012,1615,10631.0,,135.0,36066.0,45764,10631.0
2020-08-03,807.0,42929,1749,17495.0,,,62980.0,74635,17495.0
2020-08-04,673.0,32298,1884,15207.0,,,50062.0,60049,15207.0
2020-08-05,2422.0,39969,1749,15745.0,,,59885.0,67381,15745.0
2020-08-06,1749.0,67557,2557,20321.0,,,92184.0,105705,20321.0
2020-08-07,1480.0,52888,1749,15342.0,,,71459.0,81435,15342.0
2020-08-08,1480.0,43199,2557,15342.0,,135.0,62713.0,74098,15342.0
2020-08-09,1346.0,42257,1749,13188.0,,,58540.0,69185,13188.0
2020-08-10,1211.0,45083,2288,17360.0,,,65942.0,76138,17360.0
2020-08-11,942.0,54503,2153,15342.0,,135.0,73075.0,81997,15342.0
2020-08-12,942.0,69844,3364,17898.0,,,92048.0,108764,17898.0
2020-08-13,1749.0,100527,4576,15880.0,,135.0,122867.0,130695,15880.0
2020-08-14,673.0,55041,1211,17226.0,,,74151.0,82910,17226.0
2020-08-15,942.0,42660,2691,15611.0,,,61904.0,72575,15611.0
2020-08-16,1211.0,32836,1077,11977.0,,,47101.0,59500,11977.0
2020-08-17,1346.0,42795,1211,17629.0,,,62981.0,76011,17629.0
2020-08-18,942.0,52080,1884,15072.0,,,69978.0,79137,15072.0
2020-08-19,1346.0,74958,1749,16822.0,,,94875.0,100553,16822.0
2020-08-20,1749.0,63789,5114,21667.0,,,92319.0,112820,21667.0
2020-08-21,1077.0,61501,2961,16687.0,,135.0,82361.0,95292,16687.0
2020-08-22,1077.0,67557,4172,17898.0,,,90704.0,110535,17898.0
2020-08-23,942.0,69306,1346,11439.0,,135.0,83168.0,98230,11439.0
2020-08-24,538.0,51677,1211,16553.0,,,69979.0,87666,16553.0
2020-08-25,2019.0,66615,2019,20455.0,,,91108.0,110058,20455.0
2020-08-26,404.0,54234,1884,16284.0,,,72806.0,91462,16284.0
2020-08-27,1346.0,93395,4441,20321.0,,135.0,119638.0,140035,20321.0
2020-08-28,1480.0,270765,3499,18840.0,,135.0,294719.0,295696,18840.0
2020-08-29,1077.0,208053,2288,13457.0,,,224875.0,227547,13457.0
2020-08-30,1884.0,197825,807,13861.0,,,214377.0,215083,13861.0
2020-08-31,1615.0,114792,807,12381.0,,,129595.0,137903,12381.0
2020-09-01,538.0,82494,1346,16418.0,,,100796.0,112294,16418.0
2020-09-02,942.0,53292,1077,13861.0,,135.0,69307.0,83681,13861.0
2020-09-03,942.0,60828,3768,18302.0,,,83840.0,103128,18302.0
2020-09-04,673.0,68364,3095,15207.0,,,87339.0,98146,15207.0
2020-09-05,673.0,55310,3903,18302.0,,135.0,78323.0,93650,18302.0
2020-09-06,269.0,43333,1480,14400.0,,,59482.0,75907,14400.0
2020-09-07,404.0,48043,2422,19513.0,,,70382.0,90273,19513.0
2020-09-08,135.0,60020,3499,16822.0,,,80476.0,100891,16822.0
2020-09-09,673.0,69710,2422,17226.0,,,90031.0,102535,17226.0
